"Uwi","Producer.oilApiGravity","Core.XrdQuartz","Producer.mudPressure","Core.TOC","Core.RoMeasured","Core.GriSaturationsSo","Core.ln_formationThickness","Core.GriTotalPorosity","Rules.Prediction","Kaggle.Prediction","Target"
"42255320480000",NA,15.38902152,0.584030064,3.375134694,1.121490261,25.04467435,5.029257866,7.132686273,100,12.8702255344997,21.1757396449704
"42255320490000",47.9,15.80998756,0.581162223,3.419336795,1.204612083,21.5850757,5.188528367,7.699193876,300,17.3477421380949,8.65493732131075
"42255320500000",63.2,15.79279811,0.626763445,3.453151795,1.37153875,16.17862079,5.398045309,7.661669812,300,15.1947088559395,4.67691916624301
"42255320510000",41,15.43644248,0.581209478,3.447985196,1.152553678,29.88749337,5.241065391,7.793835048,300,13.7123178478699,8.93562476262818
"42255320520000",51.8,15.92412998,0.598,3.4667469,1.242185073,19.97955825,5.448586563,8.320782796,350,17.7234101230336,46.3161953727506
"42255320530000",50.7,15.93322547,0.58239999,3.46699119,1.239960209,20.08222013,5.445669651,8.321427918,350,18.1503150624295,28.6185925282363
"42255320540000",47,15.60169955,0.574209377,3.392794748,1.178434973,22.70996538,5.098745411,7.374771435,300,15.9878519320651,13.2849675935605
"42255320560000",58.8,16.04586733,0.621096415,3.446556796,1.343978666,15.80650345,5.340740605,7.891363307,300,17.5916916610181,4.76454615981381
"42255320570000",49.55,15.0250182,0.589562909,3.337724946,1.103885331,26.06662168,5.025617529,6.902749187,300,11.8379186496336,16.155803955288
"42255320580000",44,15.36443406,0.58483811,3.372587516,1.118546351,25.16276086,5.025115046,7.109294259,300,13.1183353158672,17.6318850496066
"42255320590000",44,15.40024012,0.584135838,3.376820502,1.118647571,25.14285318,5.026560717,7.139070796,300,12.8109052076931,19.5907670454545
"42255320600000",46.2,15.61455487,0.574093923,3.394323667,1.177942882,22.71471261,5.100100861,7.389590587,300,16.3864010661491,8.81210515589973
"42255320610000",54.6,16.09815534,0.607784999,3.480313979,1.328666937,16.21752453,5.534422109,8.349655094,350,17.7781954702293,41.3614532019704
"42255320620000",46.2,15.6142529,0.574094162,3.394290489,1.177913343,22.71623567,5.100034803,7.389215951,300,15.9265818846209,9.89889355207936
"42255320650000",42,15.30155233,0.575435725,3.415349803,0.989403077,31.3453062,4.910008651,7.043239165,200,18.6057708362321,21.6661730832511
"42255320660000",43.2,15.50825779,0.568682353,3.452431067,1.232286556,27.24845792,5.369653396,8.083530923,350,15.087328479245,13.9454413630596
"42255320670000",43.4,15.50713679,0.56867582,3.452710828,1.232726159,27.28044704,5.370336571,8.085581196,350,14.9397452154762,18.5695018881496
"42255320680000",58,15.9302274,0.591199241,3.540449217,1.402619011,17.57008566,5.678469467,8.70063238,350,18.9540752156523,39.1888934764657
"42255320700000",42.7,15.53903008,0.570349327,3.458423338,1.247189623,25.17211999,5.395749308,8.152859788,350,14.7863847243877,21.5375690607735
"42255320720100",44,15.5390763,0.570351084,3.458404763,1.247176737,25.17260019,5.395721245,8.152753513,350,14.8689155975658,21.1373656403717
"42255320730000",41,15.38010937,0.588136217,3.426271383,1.042956364,30.45292222,5.024984195,7.29972499,300,18.2300966481057,14.3188405797101
"42255320740000",62.5,15.95876874,0.623214584,3.451052909,1.363099118,15.67318756,5.372821577,7.804703759,300,15.7650090145996,11.5491266375546
"42255320750000",41.4,15.36754085,0.56679998,3.406852585,1.022153492,29.81130077,4.951255932,7.093055383,250,18.0341406090566,10.1751783702591
"42255320770000",41,15.33477002,0.588945715,3.475737723,1.08073145,31.43973185,5.126222664,7.663893943,300,17.7314159624645,15.5019002906327
