Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,Hole Direction,Unit Well Number,Depth Total Maximum,Perforation Upper,Perforation Lower,Status Prod Current Name,Surface Latitude,Surface Longitude,Surface LL Source,Type Name,Date Completion,Date Abandonment,Play Name,Play Type
242010263315,PI,WELL,G,BRISCOE CATARINA NORTH,10H,42127339300000,263315,HORIZONTAL,1,13380,8691,13244,ACTIVE,+28.29281, -99.83105,TS,ACTIVE PRODUCING-GENERAL,2011-08-23,,,
242010263316,PI,WELL,G,BRISCOE CATARINA NORTH,11H,42127339320000,263316,HORIZONTAL,1,13195,8378,13048,ACTIVE,+28.29288, -99.83106,TS,ACTIVE PRODUCING-GENERAL,2011-08-23,,,
242010263323,PI,WELL,G,BRISCOE CARLA RANCH,16H,42127341330000,263323,HORIZONTAL,1,13100,8375,12949,ACTIVE,+28.33010, -99.88080,TS,ACTIVE PRODUCING-GENERAL,2011-11-22,,,
242010263444,PI,WELL,G,SOUTH SPUR UNIT A,1H,42127341040000,263444,HORIZONTAL,1,12620,7300,12468,ACTIVE,+28.36073, -99.93537,TS,ACTIVE PRODUCING-GENERAL,2011-08-07,,,
242010263539,PI,WELL,G,BRISCOE CARLA RANCH,18H,42127341350000,263539,HORIZONTAL,1,13185,8440,13036,ACTIVE,+28.33000, -99.88069,TS,ACTIVE PRODUCING-GENERAL,2011-11-27,,,
242010263540,PI,WELL,G,BRISCOE CATARINA NORTH,16H,42127339470000,263540,HORIZONTAL,1,13232,8600,13101,ACTIVE,+28.33101, -99.84000,TS,ACTIVE PRODUCING-GENERAL,2011-11-17,,,
242010263629,PI,WELL,G,RANCHO ENCANTADO,4H,42127338340000,263629,HORIZONTAL,1,13638,8339,13496,ACTIVE,+28.34977, -99.49627,TS,ACTIVE PRODUCING-GENERAL,2011-07-21,,,
242010263648,PI,WELL,G,BRISCOE COCHINA EAST RANCH,16H,42127339140000,263648,HORIZONTAL,1,12889,8980,12788,ACTIVE,+28.36359, -99.46767,TS,ACTIVE PRODUCING-GENERAL,2011-10-06,,,
242010263652,PI,WELL,G,ROGERS DENTONIO RANCH,14H,42127341360000,263652,HORIZONTAL,1,12708,7960,12558,ACTIVE,+28.28642, -99.92319,TS,ACTIVE PRODUCING-GENERAL,2011-09-14,,,
242010263653,PI,WELL,G,ROGERS DENTONIO RANCH,15H,42127341370000,263653,HORIZONTAL,1,12812,8041,12663,ACTIVE,+28.28642, -99.92312,TS,ACTIVE PRODUCING-GENERAL,2011-09-15,,,
242010263654,PI,WELL,G,BRISCOE CATARINA RANCH,18H,42127337920000,263654,HORIZONTAL,1,13860,8809,13682,ACTIVE,+28.29071, -99.78780,TS,ACTIVE PRODUCING-GENERAL,2011-04-08,,,
242010263657,PI,WELL,G,ROGERS DENTONIO RANCH,5H,42127338470000,263657,HORIZONTAL,1,12827,8063,12686,ACTIVE,+28.28640, -99.91633,TS,ACTIVE PRODUCING-GENERAL,2011-04-17,,,
242010263724,PI,WELL,G,BRISCOE CARLA RANCH,19H,42127338890000,263724,VERTICAL,1,,8264,12935,ACTIVE,+28.33731, -99.85866,TS,ACTIVE PRODUCING-GENERAL,2011-09-08,,,
242010263725,PI,WELL,G,BRISCOE CARLA RANCH,20H,42127338900000,263725,HORIZONTAL,1,12835,7856,12685,ACTIVE,+28.33731, -99.85858,TS,ACTIVE PRODUCING-GENERAL,2011-09-08,,,
242010263726,PI,WELL,G,BRISCOE CARLA RANCH,21H,42127338910000,263726,HORIZONTAL,1,13120,9234,12987,ACTIVE,+28.33731, -99.85850,TS,ACTIVE PRODUCING-GENERAL,2011-09-08,,,
242010263727,PI,WELL,G,BRISCOE CATARINA SOUTH,7H,42127339520000,263727,HORIZONTAL,1,13260,8123,13116,ACTIVE,+28.27194, -99.85355,TS,ACTIVE PRODUCING-GENERAL,2011-10-24,,,
