"","Entity","Uwi","Latitude","Longitude","Depth.True.Vertical","Tmax","S2","Romeasure","ClayChlo","waterporosity"
"707","1420100153975H",42177322770000,29.2559,-97.47602,11832,461.106480256866,5.07746754321627,1.22862779859608,4.68598799708823,2.53573682398971
"708","1420100153976H",42177322780000,29.25591,-97.47593,11901,461.109988552344,5.07562069927938,1.22872847945183,4.68699172431775,2.53574155261812
"709","1420100153977H",42177324940000,29.31549,-97.49235,9693,455.205883200871,6.3042132271535,1.1268193941669,3.67585329856251,2.49639898329316
"710","1420100154011H",42177321830100,29.4662,-97.27768,11087,457.514672349975,3.86552699673157,1.04141941316332,3.47262924080451,2.6490655219172
"711","1420100154012H",42177321650100,29.46267,-97.28005,11081,457.65175870389,3.87500706961078,1.04402761699509,3.48520363157783,2.64195227366141
"712","1420100154013H",42177321820000,29.45857,-97.28182,11163,457.895498617428,3.86700117086076,1.0477333778198,3.51628209675361,2.63801464583209
"713","1420100154014H",42177322970000,29.4713,-97.27916,10972,456.904421070408,3.94263050078362,1.03454911602164,3.38594112083346,2.64051137343324
"714","1420100154015H",42177322790000,29.46549,-97.28035,11045,457.357595146703,3.90832358574159,1.04054865539885,3.44367472673292,2.63916712801245
"715","1420100154016H",42177322930000,29.46098,-97.28114,11158,457.721932434444,3.87845801101046,1.04532670164111,3.49278686012914,2.63895535761053
"716","1420100154021H",42177321110000,29.30231,-97.42687,11398,460.204510667362,4.69060763426146,1.20562114163621,4.4069536314098,2.50359940034133
"717","1420100154022H",42177321130000,29.30179,-97.43117,11405,459.941720630845,4.7738358051345,1.20338284177564,4.3844885029901,2.50270257191553
"718","1420100154023H",42177321560000,29.30105,-97.43526,11348,459.718117643121,4.85001675455212,1.20149964419133,4.36593874957985,2.50217401642217
"719","1420100154024H",42177321150000,29.30002,-97.44048,11382,459.450074027583,4.9467266932101,1.1989991297693,4.34219152581262,2.50181518422922
"720","1420100154061H",42177321070000,29.37645,-97.35374,11328,459.870820486456,4.25019598836166,1.11854443344636,3.99208840033022,2.54110330328952
"721","1420100154063H",42177321190000,29.37803,-97.34982,11272,460.040444279015,4.19734116421451,1.11761814595114,4.00578543442129,2.54599916450647
"722","1420100154064H",42177321260000,29.37972,-97.34566,11310,460.219182457224,4.14169933539114,1.11665123917179,4.0204142699197,2.55143538458944
"723","1420100154271H",42177321160000,29.18458,-97.59541,11622,461.298865049944,6.61921685405273,1.15215673364435,3.58331792284031,2.47451011448108
"724","1420100154422H",42177321470000,29.25325,-97.53939,10183,458.056199559757,6.49320619944758,1.15132485514059,3.85414393114666,2.51784697595711
"725","1420100154423H",42177321490000,29.25823,-97.53671,10159,457.736005169473,6.50751584037133,1.14902699171891,3.83833739838173,2.51679929609964
"726","1420100154424H",42177323370000,29.25171,-97.54117,10116,458.103542760929,6.5112346772908,1.15081370021499,3.84533365473747,2.51776140620045
"727","1420100154425H",42177323500000,29.25475,-97.5383,10171,457.97476659668,6.49089723498724,1.15100032803969,3.85348664651288,2.51765109556687
"728","1420100154501H",42177321280000,29.17648,-97.60743,11570,461.249683985089,6.7414433297405,1.14602599367287,3.44865112502635,2.45736615469001
"729","1420100154512H",42177323540000,29.3294,-97.46975,9918,455.416717795164,5.98648737610012,1.12800994095651,3.69960779426582,2.49011666496987
"730","1420100154513H",42177321570000,29.32619,-97.47187,9855,455.53590563189,5.99040954130796,1.13088816836179,3.72286439682713,2.49108418794992
"731","1420100154514H",42177321580000,29.33559,-97.47186,9795,454.827191320874,6.11450270069271,1.11709352034441,3.60524323853041,2.48899873755895
"732","1420100154515H",42177321750000,29.34043,-97.4708,9742,454.526743899828,6.15426547884362,1.11093061177566,3.55446834987035,2.48801376121482
"733","1420100154516H",42177322190000,29.33404,-97.45542,9920,455.929674913433,5.73590699247488,1.13289255559796,3.7537290728746,2.48847667182762
"734","1420100154517H",42177322200000,29.33299,-97.45155,9897,456.249480770156,5.63860083125465,1.13749654039491,3.79683890174336,2.48884713678279
"735","1420100154518H",42177323510000,29.34006,-97.47336,9732,454.405067096883,6.20567016009657,1.10931865525146,3.53878862677081,2.48839511358714
"736","1420100154531H",42177321740000,29.3369,-97.41297,11112,458.580502988491,4.88321224719152,1.15608095051691,4.02828183359711,2.4979927423028
"737","1420100154642H",42177321910000,29.35208,-97.35202,11514,462.207161091635,3.90853175325836,1.15266868364669,4.35289038090848,2.55661415010989
"738","1420100154643H",42177323270000,29.3525,-97.35208,11528,462.163884182947,3.91509206080289,1.15206578013596,4.34639776793331,2.55630714879325
"739","1420100154644H",42177321900000,29.35403,-97.34778,11368,462.388893593285,3.85652573540467,1.15084690814866,4.36921781961822,2.56251365281081
"740","1420100154645H",42177322380000,29.35639,-97.34556,11502,462.360084786572,3.84664062128648,1.14808705099535,4.35864618948145,2.56496838934615
"741","1420100154646H",42177321930000,29.35725,-97.34211,11441,462.573044937838,3.79530334421873,1.14768335512176,4.38245066052615,2.57041975424826
"742","1420100154662H",42177321330000,29.47397,-97.32164,10029,453.449431947129,4.77757880682245,1.00742413678344,2.84722564998583,2.49990025078342
"743","1420100154801H",42177322390000,29.29343,-97.41495,11491,461.753822472578,4.31434126055827,1.22920394045539,4.61858071995122,2.51187677761185
"744","1420100154802H",42177321600000,29.2953,-97.41402,11470,461.686835188534,4.32216768735788,1.22640532927302,4.59582598889796,2.51142697970384
