UWI,State,County Name,District Name,Latitude,Longitude
42127315580000,TX,DIMMIT,RR DISTRICT 01,28.4144001,-99.83683777
42127315640000,TX,DIMMIT,RR DISTRICT 01,28.49303055,-99.86721802
42127315890000,TX,DIMMIT,RR DISTRICT 01,28.60047913,-100.023262
42127315990000,TX,DIMMIT,RR DISTRICT 01,28.46554947,-99.90000153
42127316110000,TX,DIMMIT,RR DISTRICT 01,28.4788208,-99.91969299
42127316160000,TX,DIMMIT,RR DISTRICT 01,28.62356949,-99.80863953
42127316570000,TX,DIMMIT,RR DISTRICT 01,28.45896912,-99.85050201
42127316590000,TX,DIMMIT,RR DISTRICT 01,28.44261932,-100.0901184
42127316620000,TX,DIMMIT,RR DISTRICT 01,28.55596924,-99.58840942
42127316630000,TX,DIMMIT,RR DISTRICT 01,28.58370972,-99.85410309
42127316700000,TX,DIMMIT,RR DISTRICT 01,28.60866928,-99.49730682
42127316950000,TX,DIMMIT,RR DISTRICT 01,28.62516975,-99.49710083
42127317150000,TX,DIMMIT,RR DISTRICT 01,28.49328041,-100.0322571
42127317180000,TX,DIMMIT,RR DISTRICT 01,28.54569054,-99.59161377
42127317300000,TX,DIMMIT,RR DISTRICT 01,28.59093094,-99.8609314
42127317890000,TX,DIMMIT,RR DISTRICT 01,28.46669006,-100.0676727
42127317900000,TX,DIMMIT,RR DISTRICT 01,28.56505966,-99.58757019
42127317980000,TX,DIMMIT,RR DISTRICT 01,28.54891968,-99.93927002
42127318060000,TX,DIMMIT,RR DISTRICT 01,28.54920959,-99.92262268
42127322620000,TX,DIMMIT,RR DISTRICT 01,28.57901001,-99.54934692
42127322910000,TX,DIMMIT,RR DISTRICT 01,28.45047951,-100.0489502
42127322930000,TX,DIMMIT,RR DISTRICT 01,28.35864067,-100.0876999
42127323860000,TX,DIMMIT,RR DISTRICT 01,28.52275085,-99.75843048
42127327800000,TX,DIMMIT,RR DISTRICT 01,28.60704994,-99.50038147
42127332040000,TX,DIMMIT,RR DISTRICT 01,28.62372971,-99.98033905
42127332900000,TX,DIMMIT,RR DISTRICT 01,28.44989014,-100.0026703
42127332970000,TX,DIMMIT,RR DISTRICT 01,28.58674049,-99.97609711
42127333980000,TX,DIMMIT,RR DISTRICT 01,28.33258057,-99.7161026
42127334000000,TX,DIMMIT,RR DISTRICT 01,28.40370941,-99.5003891
42127334110000,TX,DIMMIT,RR DISTRICT 01,28.24924088,-100.0509262
42127334210000,TX,DIMMIT,RR DISTRICT 01,28.29977989,-99.87290192
42127335200000,TX,DIMMIT,RR DISTRICT 01,28.63059998,-100.036087
42127336080000,TX,DIMMIT,RR DISTRICT 01,28.56501961,-99.4406662
42127336450000,TX,DIMMIT,RR DISTRICT 01,28.58860016,-99.51705933
42127336550000,TX,DIMMIT,RR DISTRICT 01,28.22046089,-99.73600006
42127336597000,TX,DIMMIT,RR DISTRICT 01,28.26379967,-99.59929657
42127337520000,TX,DIMMIT,RR DISTRICT 01,28.2047596,-99.61521912
42127337660000,TX,DIMMIT,RR DISTRICT 01,28.25824928,-99.61614227
42127339260000,TX,DIMMIT,RR DISTRICT 01,28.39725494,-99.91031647
42127339960000,TX,DIMMIT,RR DISTRICT 01,28.21010971,-99.41838074
42127340937000,TX,DIMMIT,RR DISTRICT 01,28.51440048,-99.59715271
42127343600000,TX,DIMMIT,RR DISTRICT 01,28.30001068,-99.47254181
42127352730000,TX,DIMMIT,RR DISTRICT 01,28.50387955,-99.42511749
42127353970000,TX,DIMMIT,RR DISTRICT 01,28.58514977,-100.0160522
42127354420000,TX,DIMMIT,RR DISTRICT 01,28.2927494,-99.61434174
42163000020000,TX,FRIO,RR DISTRICT 01,29.08916092,-99.31384277
42163000100000,TX,FRIO,RR DISTRICT 01,29.0604496,-99.28772736
42163000360000,TX,FRIO,RR DISTRICT 01,29.08456039,-98.88760376
42163001100000,TX,FRIO,RR DISTRICT 01,29.07169914,-98.871521
